Episode,Total Reward,Fruits Collected,Survival Time
770,-10.7,0,8
771,-10.7,0,8
772,-10.5,0,6
773,-10.3,0,4
774,89.20000000000005,1,9
775,-10.4,0,5
776,-10.9,0,10
777,-10.7,0,8
778,-10.5,0,6
779,-10.8,0,9
780,-10.3,0,4
781,-10.5,0,6
782,-10.6,0,7
783,-10.4,0,5
784,-10.9,0,10
785,-10.2,0,3
786,-10.9,0,10
787,-10.4,0,5
788,-10.5,0,6
789,-10.8,0,9
790,-10.2,0,3
791,-10.9,0,10
792,-10.5,0,6
793,-10.2,0,3
794,-10.6,0,7
795,-10.8,0,9
796,-10.1,0,2
797,-10.7,0,8
798,-10.0,0,1
799,-10.2,0,3
800,-10.0,0,1
801,-10.4,0,5
802,-10.4,0,5
803,-10.4,0,5
804,-10.0,0,1
805,-10.6,0,7
806,-10.5,0,6
807,-10.9,0,10
808,-10.0,0,1
809,-10.3,0,4
810,-10.7,0,8
811,-10.9,0,10
812,-10.9,0,10
813,-10.6,0,7
814,-10.4,0,5
815,89.10000000000005,1,10
816,-10.6,0,7
817,-10.0,0,1
818,-10.7,0,8
819,-10.2,0,3
820,-10.1,0,2
821,-10.3,0,4
822,-10.0,0,1
823,-10.2,0,3
824,-10.0,0,1
825,-10.9,0,10
826,-10.8,0,9
827,-10.8,0,9
828,-10.4,0,5
829,-10.2,0,3
830,-10.4,0,5
831,-10.6,0,7
832,-10.5,0,6
833,-10.3,0,4
834,-10.3,0,4
835,-10.0,0,1
836,-10.2,0,3
837,-10.7,0,8
838,-10.1,0,2
839,-10.3,0,4
840,-10.6,0,7
841,-11.0,0,11
842,-10.1,0,2
843,-10.9,0,10
844,-10.2,0,3
845,-10.7,0,8
846,-10.3,0,4
847,-10.1,0,2
848,-11.1,0,12
849,-10.0,0,1
850,-10.0,0,1
851,-10.1,0,2
852,-10.7,0,8
853,-10.1,0,2
854,-10.5,0,6
855,-10.6,0,7
856,-10.0,0,1
857,-10.4,0,5
858,-10.8,0,9
859,-10.1,0,2
860,-10.8,0,9
861,-11.700000000000001,0,18
862,-10.7,0,8
863,-10.5,0,6
864,-10.0,0,1
865,-10.5,0,6
866,-10.2,0,3
867,-10.3,0,4
868,-10.1,0,2
869,-10.7,0,8
870,-10.4,0,5
871,-10.8,0,9
872,-10.6,0,7
873,-10.6,0,7
874,-11.0,0,11
875,-10.1,0,2
876,-10.3,0,4
877,89.80000000000001,1,3
878,-10.1,0,2
879,-10.7,0,8
880,-10.8,0,9
881,-11.1,0,12
882,-10.7,0,8
883,-10.2,0,3
884,-10.6,0,7
885,-10.3,0,4
886,-10.3,0,4
887,-10.1,0,2
888,-10.5,0,6
889,-10.9,0,10
890,-10.6,0,7
891,-10.0,0,1
892,-10.3,0,4
893,-10.8,0,9
894,-10.3,0,4
895,-10.7,0,8
896,-10.2,0,3
897,-10.8,0,9
898,-10.2,0,3
899,-10.5,0,6
900,-10.4,0,5
901,-10.6,0,7
902,-10.0,0,1
903,-10.5,0,6
904,-10.2,0,3
905,-10.1,0,2
906,-10.2,0,3
907,-10.6,0,7
908,-10.8,0,9
909,-10.3,0,4
910,89.30000000000003,1,8
911,-10.7,0,8
912,-10.6,0,7
913,-10.4,0,5
914,-10.2,0,3
915,-10.6,0,7
916,-10.6,0,7
917,-10.1,0,2
918,-10.7,0,8
919,-10.2,0,3
920,-10.9,0,10
921,-10.1,0,2
922,-10.7,0,8
923,-10.2,0,3
924,-10.1,0,2
925,-10.2,0,3
926,-10.7,0,8
927,-10.6,0,7
928,-10.8,0,9
929,-10.2,0,3
930,89.00000000000003,1,11
931,-10.1,0,2
932,-10.0,0,1
933,-10.4,0,5
934,-10.0,0,1
935,-10.8,0,9
936,-10.8,0,9
937,-10.8,0,9
938,-10.4,0,5
939,-10.3,0,4
940,-10.5,0,6
941,-10.5,0,6
942,-10.0,0,1
943,-10.1,0,2
944,-10.3,0,4
945,89.50000000000003,1,6
946,-10.3,0,4
947,-10.7,0,8
948,-10.3,0,4
949,-10.8,0,9
950,-10.9,0,10
951,-10.4,0,5
952,-10.6,0,7
953,-10.1,0,2
954,-10.6,0,7
955,-10.2,0,3
956,-10.1,0,2
957,-10.5,0,6
958,-10.7,0,8
959,-10.7,0,8
960,-10.1,0,2
961,-10.3,0,4
962,-10.5,0,6
963,-11.0,0,11
964,-10.4,0,5
965,-10.7,0,8
966,-10.4,0,5
967,-10.9,0,10
968,-10.6,0,7
